DataType,Code,LocalAuthority,Period,Value,Numerator,Denominator
Real,ECON05,East Ayrshire,2016-17,21.03109656,257,122200
Real,ECON05,East Ayrshire,2017-18,19.10775791,233,121940
Real,ECON05,East Ayrshire,2018-19,19.28759028,235,121840
Real,ECON05,East Ayrshire,2019-20,21.06384723,257,122010
Real,ECON05,East Ayrshire,2020-21,5.427631579,66,121600
Real,ECON05,East Ayrshire,2021-22,24.25831831,296,122020
Real,ECON05,East Ayrshire,2022-23,25.89739387,316,122020
Real,ECON05,East Ayrshire,2023-24,12.78478938,156,122020
Real,ECON05,East Dunbartonshire,2014-15,12.08883891,129,106710
Real,ECON05,East Dunbartonshire,2015-16,9.255796559,99,106960
Real,ECON05,East Dunbartonshire,2016-17,9.298865538,100,107540
Real,ECON05,East Dunbartonshire,2017-18,13.59474706,147,108130
Real,ECON05,East Dunbartonshire,2018-19,14.86199575,161,108330
Real,ECON05,East Dunbartonshire,2019-20,14.7275405,160,108640
Real,ECON05,East Dunbartonshire,2020-21,9.655172414,105,108750
Real,ECON05,East Dunbartonshire,2021-22,12.30486685,134,108900
Real,ECON05,East Dunbartonshire,2022-23,11.29476584,123,108900
Real,ECON05,East Dunbartonshire,2023-24,6.152433425,67,108900
Real,ECON05,East Lothian,2014-15,18.70898227,191,102090
Real,ECON05,East Lothian,2015-16,14.36196021,148,103050
Real,ECON05,East Lothian,2016-17,21.71198002,226,104090
Real,ECON05,East Lothian,2017-18,19.55360549,205,104840
Real,ECON05,East Lothian,2018-19,18.52727101,196,105790
Real,ECON05,East Lothian,2019-20,16.71491269,179,107090
Real,ECON05,East Lothian,2020-21,5.838739574,63,107900
Real,ECON05,East Lothian,2021-22,6.479284541,71,109580
Real,ECON05,East Lothian,2022-23,13.3235992,146,109580
Real,ECON05,East Lothian,2023-24,10.22084322,112,109580
Real,ECON05,East Renfrewshire,2014-15,19.37019803,179,92410
Real,ECON05,East Renfrewshire,2015-16,17.75338928,165,92940
Real,ECON05,East Renfrewshire,2016-17,16.52275877,155,93810
Real,ECON05,East Renfrewshire,2017-18,17.30688054,164,94760
Real,ECON05,East Renfrewshire,2018-19,17.65262162,168,95170
Real,ECON05,East Renfrewshire,2019-20,15.07379881,144,95530
Real,ECON05,East Renfrewshire,2020-21,22.69414949,218,96060
Real,ECON05,East Renfrewshire,2021-22,19.67281011,190,96580
Real,ECON05,East Renfrewshire,2022-23,18.11969352,175,96580
Real,ECON05,East Renfrewshire,2023-24,7.454959619,72,96580
Real,ECON05,Edinburgh City,2014-15,24.60364183,1212,492610
Real,ECON05,Edinburgh City,2015-16,24.07730398,1201,498810
Real,ECON05,Edinburgh City,2016-17,20.40735848,1035,507170
Real,ECON05,Edinburgh City,2017-18,19.52417139,1002,513210
Real,ECON05,Edinburgh City,2018-19,16.93346191,878,518500
Real,ECON05,Edinburgh City,2019-20,12.23020212,642,524930
Real,ECON05,Edinburgh City,2020-21,6.064971002,320,527620
Real,ECON05,Edinburgh City,2021-22,7.673751591,404,526470
Real,ECON05,Edinburgh City,2022-23,6.68604099,352,526470
Real,ECON05,Edinburgh City,2023-24,4.900564135,258,526470
Real,ECON05,Eilean Siar,2014-15,14.67889908,40,27250
Real,ECON05,Eilean Siar,2015-16,16.99298116,46,27070
Real,ECON05,Eilean Siar,2016-17,14.86988848,40,26900
Real,ECON05,Eilean Siar,2017-18,18.92393321,51,26950
Real,ECON05,Eilean Siar,2018-19,26.83563176,72,26830
